City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
329,hasaki,35.7333,140.8333,55.22,59,100,18.57,JP,1680474638
330,mecca,21.4267,39.8261,71.38,52,13,3.91,SA,1680474728
331,santa cruz,-17.8,-63.1667,87.26,66,20,6.91,BO,1680474604
332,balabac,7.9868,117.0645,78.66,81,100,2.15,PH,1680474728
333,saint-francois,46.4154,3.9054,44.04,93,100,11.5,FR,1680474728
334,bandarbeyla,9.4942,50.8122,80.89,76,40,4.74,SO,1680474728
335,novopetrovskoye,55.9928,36.4719,40.14,99,100,1.81,RU,1680474728
336,saint anthony,45.0205,-93.218,46.33,57,0,16.11,US,1680474728
337,havelock,34.8791,-76.9013,64.38,55,0,9.22,US,1680474728
338,iqaluit,63.7506,-68.5145,11.93,57,75,10.36,CA,1680474573
339,safita,34.8205,36.1153,51.64,78,27,3.67,SY,1680474729
340,thessalon,46.2501,-83.5666,35.89,83,100,10.78,CA,1680474629
341,strezhevoy,60.7333,77.5889,34.3,96,96,11.14,RU,1680474729
342,vao,-22.6667,167.4833,77.76,82,59,6.29,NC,1680474729
343,kieta,-6.2167,155.6333,84.65,69,66,3.87,PG,1680474730
344,westport,41.1415,-73.3579,51.1,22,0,11.5,US,1680474609
345,rabo de peixe,37.8,-25.5833,54.91,71,20,9.22,PT,1680474730
346,caravelas,-17.7125,-39.2481,78.51,77,70,9.24,BR,1680474730
347,dubbo,-32.25,148.6167,64.53,72,40,11.5,AU,1680474730
348,nanao,37.05,136.9667,53.31,74,0,11.34,JP,1680474730
349,ati,13.2154,18.3353,84.99,20,63,9.44,TD,1680474730
350,makakilo city,21.3469,-158.0858,78.01,76,20,6.91,US,1680474730
351,superior,46.7208,-92.1041,42.48,86,100,9.22,US,1680474730
352,marathon,44.9,-89.7668,51.55,64,0,13.8,US,1680474650
353,lavrentiya,65.5833,-171.0,6.15,72,25,0.96,RU,1680474731
354,sungairaya,0.7,108.9,76.84,87,99,2.89,ID,1680474731
355,caconda,-13.7333,15.0667,60.75,94,100,2.55,AO,1680474731
356,sterlibashevo,53.4376,55.2578,32.5,79,9,5.12,RU,1680474731
357,waipawa,-41.4122,175.5153,53.67,88,97,9.91,NZ,1680474732
358,general roca,-39.0333,-67.5833,68.63,36,96,13.04,AR,1680474732
359,boa vista,2.8197,-60.6733,85.98,48,40,11.5,BR,1680474732
360,karlshamn,56.1706,14.8619,28.89,78,36,9.15,SE,1680474732
361,praia da vitoria,38.7333,-27.0667,56.75,70,57,17.6,PT,1680474621
362,yokadouma,3.5167,15.05,72.5,70,9,2.28,CM,1680474732
